cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
2610001,65,28,37,43,57
2610002,55,14,40,25,73
2610003,0,0,0,0,0
2610004,51,33,18,65,35
2610005,3,0,3,0,100
2610006,23,9,14,39,61
2730011,949,467,457,49,48
2730012,727,363,343,50,47
2730013,820,227,573,28,70
2730014,276,60,210,22,76
2730021,218,19,196,9,90
2730022,482,170,282,35,59
2730023,565,126,423,22,75
2730024,791,278,475,35,60
2730031,799,368,406,46,51
2730032,609,224,369,37,61
2730033,391,155,223,40,57
2730034,326,208,106,64,33
2730035,553,203,327,37,59
2730041,265,27,236,10,89
2730042,411,42,363,10,88
2730043,853,267,563,31,66
2730044,258,77,175,30,68
2730045,417,24,386,6,93
3550001,583,279,277,48,48
3550002,1357,607,676,45,50
3550003,2145,1081,975,50,45
3550004,1305,439,822,34,63
3550005,1034,596,394,58,38
3550006,1583,880,623,56,39
3550007,348,44,298,13,86
3550008,1642,748,823,46,50
3550009,1104,618,446,56,40
3550010,645,405,216,63,33
3550011,338,154,172,46,51
3550012,549,150,388,27,71
3550013,526,57,462,11,88
3550014,195,115,74,59,38
3550015,372,171,192,46,52
3550016,168,104,59,62,35
3550017,1391,491,837,35,60
3550018,1415,697,637,49,45
3550019,1937,1076,738,56,38
3550020,1289,350,906,27,70
3550021,232,130,84,56,36
3550022,195,81,113,42,58
3550023,1185,858,286,72,24
3550024,221,40,179,18,81
3550025,182,99,74,54,41
3550026,2157,1274,827,59,38
3550027,368,98,258,27,70
3550028,122,88,31,72,25
3550029,1911,1034,817,54,43
3550030,119,5,109,4,92
3550031,195,34,157,17,81
3550032,873,439,403,50,46
3550033,192,30,154,16,80
3550034,179,57,120,32,67
3550035,361,39,318,11,88
3550036,513,102,404,20,79
3550037,631,120,488,19,77
3550038,231,20,206,9,89
3550039,291,95,189,33,65
3550040,2204,1545,571,70,26
3550041,178,28,146,16,82
3550042,275,167,91,61,33
3550043,238,37,195,16,82
3550044,412,43,360,10,87
3550045,188,32,152,17,81
3550046,102,16,84,16,82
3550047,171,25,137,15,80
3550048,821,301,481,37,59
3550049,638,398,220,62,34
3550050,297,115,172,39,58
3550051,748,288,428,39,57
3550052,411,71,326,17,79
3550053,321,65,243,20,76
3550054,618,97,509,16,82
3550055,520,96,415,18,80
3550056,385,67,305,17,79
3550057,364,91,258,25,71
3550058,773,368,372,48,48
3550059,880,381,449,43,51
3550060,423,38,380,9,90
3550061,319,27,285,8,89
3550062,343,68,273,20,80
3550063,1543,896,564,58,37
3550064,679,439,216,65,32
3550065,2088,1220,755,58,36
3550066,732,287,420,39,57
3550067,1603,861,692,54,43
3550068,555,154,385,28,69
3550069,980,316,636,32,65
3550070,1214,373,802,31,66
3550071,682,135,532,20,78
3550072,738,228,486,31,66
3550073,618,126,476,20,77
3550074,703,81,604,12,86
3550075,934,127,792,14,85
3550076,279,30,248,11,89
3550077,129,12,113,9,88
3550078,730,127,587,17,80
3550079,524,100,409,19,78
3550080,669,81,571,12,85
3550081,2168,1429,635,66,29
3550082,236,46,175,19,74
3550083,450,80,357,18,79
3550084,402,130,256,32,64
3550085,193,29,160,15,83
3550086,403,203,172,50,43
3550087,769,272,462,35,60
3550088,1329,616,663,46,50
3550089,304,110,187,36,62
3550090,441,167,251,38,57
3550091,1595,827,699,52,44
3550092A,1141,651,444,57,39
3550092B,54,31,21,57,39
3550093,979,171,790,17,81
3550094,1082,470,581,43,54
3550095,359,82,267,23,74
3550096,391,99,277,25,71
3550097,483,96,378,20,78
3550098,888,73,797,8,90
3550099,239,40,196,17,82
3550100,608,271,317,45,52
3550101,1616,832,718,51,44
3550102,889,439,422,49,47
3550103,829,506,298,61,36
3550104,340,27,311,8,91
3550105,518,62,452,12,87
3550106,1355,637,675,47,50
3550107,2203,1486,657,67,30
3550108,206,48,156,23,76
3550109,327,153,156,47,48
3550110,700,366,303,52,43
3550111,438,245,176,56,40
3550112,1403,681,673,49,48
3550113,192,15,172,8,90
3550114,217,49,162,23,75
3550115,1106,601,472,54,43
3550116,1908,848,999,44,52
3550117,1763,1081,585,61,33
3550118,1374,451,879,33,64
3550119,1977,1098,808,56,41
3550120,1133,560,533,49,47
3550121,875,372,474,43,54
3550122,1580,905,585,57,37
3550123,1173,677,450,58,38
3550124,1554,737,764,47,49
3550125,1613,817,741,51,46
3550126,675,342,308,51,46
3550127,472,301,160,64,34
4090106,645,278,336,43,52
4090108,2026,1273,676,63,33
4090109,1499,921,509,61,34
4090110,190,110,70,58,37
4090113,586,86,490,15,84
4090114,963,575,345,60,36
4090115,1926,1148,695,60,36
4090116,2141,1551,506,72,24
4090119,794,507,252,64,32
4090120,407,264,114,65,28
4090121,1192,707,438,59,37
4890001,734,128,597,17,81
4890002A,2,0,2,0,100
4890002B,551,118,417,21,76
4890003,399,106,278,27,70
4890004,667,129,515,19,77
4890005,396,59,327,15,83
4890006,226,55,166,24,73
4890007,491,140,337,29,69
4890008,350,69,271,20,77
4890009,396,63,322,16,81
4890010,186,100,70,54,38
4890011,268,91,171,34,64
4890012,47,7,38,15,81
610001,916,378,498,41,54
610002,251,100,141,40,56
610003,846,192,629,23,74
610004,1156,397,712,34,62
610005,247,38,199,15,81
610006,580,70,490,12,84
610007,216,53,155,25,72
610008,178,20,150,11,84
610009,1082,179,863,17,80
610010,834,93,716,11,86
610011,834,127,676,15,81
610012,1046,277,718,26,69
610013,266,48,210,18,79
610014,730,134,566,18,78
610015,1059,265,744,25,70
610016,404,116,277,29,69
610017,1031,182,818,18,79
610018,957,179,754,19,79
610019,672,186,461,28,69
610020,639,230,386,36,60
610021,855,186,630,22,74
610022,862,161,681,19,79
610023,103,33,63,32,61
610024,388,60,320,15,82
610025,283,49,228,17,81
610026,1030,450,547,44,53
610029,100,49,49,49,49
610037,709,113,577,16,81
610038,408,153,238,37,58
610040,1029,256,737,25,72
610043,73,31,40,42,55
610044,0,0,0,0,0
610045,718,97,603,14,84
610046,1256,302,898,24,71
610047,485,123,332,25,68
610048,285,69,202,24,71
610049,374,123,234,33,63
610050,1704,531,1109,31,65
610051,321,64,245,20,76
610052,1255,710,470,57,37
610053,881,100,753,11,85
610054,1475,336,1082,23,73
610055,21,9,11,43,52
610057,279,104,168,37,60
610059,278,51,212,18,76
610060,383,67,297,17,78
610061,950,295,618,31,65
610062,1240,278,919,22,74
610063,679,194,460,29,68
610065,968,283,647,29,67
610066,1460,557,861,38,59
610067,1172,603,510,51,44
610068,708,150,531,21,75
610069,1310,219,1030,17,79
610070,473,62,397,13,84
610071,1197,177,974,15,81
610072,984,283,661,29,67
610073,1391,345,995,25,72
610074,1063,127,906,12,85
610075,834,147,656,18,79
610076,639,197,414,31,65
610077,891,97,777,11,87
610079,0,0,0,0,0
610081,561,129,417,23,74
610082,662,101,533,15,81
610083,505,187,290,37,57
610085,363,145,206,40,57
610086,336,59,264,18,79
610095,325,120,192,37,59
610096,705,138,536,20,76
610097,315,117,187,37,59
610098,1344,330,948,25,71
610099,147,60,83,41,56
610100,1310,292,969,22,74
610101,274,85,178,31,65
610102,451,90,343,20,76
610105,36,11,25,31,69
610106,898,255,604,28,67
610107,209,69,131,33,63
610108,0,0,0,0,0
610109,0,0,0,0,0
